,codmunicipio,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MUNICIPIO,codptore,DPTO
108,05792,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,tarso,05,Antioquia
109,05809,1,0,2,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,2,0,0,titiribi,05,Antioquia
110,05819,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,toledo,05,Antioquia
111,05837,1,1,1,2,2,1,3,1,2,3,2,5,3,4,3,8,2,3,2,10,9,turbo,05,Antioquia
112,05842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,uramita,05,Antioquia
113,05847,1,2,0,2,1,2,2,0,1,2,0,2,1,2,0,1,0,0,3,1,0,urrao,05,Antioquia
114,05854,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,valdivia,05,Antioquia
115,05856,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,valparaiso,05,Antioquia
116,05858,0,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,vegachi,05,Antioquia
117,05861,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,0,1,venecia,05,Antioquia
118,05885,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,yali,05,Antioquia
119,05887,0,3,1,2,2,4,1,2,1,1,0,1,0,3,0,3,2,1,3,3,1,yarumal,05,Antioquia
120,05890,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,yolombo,05,Antioquia
121,05893,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,yondo,05,Antioquia
122,05895,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,zaragoza,05,Antioquia
123,05999,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,05,Antioquia
124,08001,61,66,66,74,88,88,67,93,86,92,101,106,116,93,123,132,137,135,138,150,161,barranquilla,08,Atlántico
125,08078,2,2,0,1,1,1,2,1,3,4,4,3,2,2,3,1,8,7,4,7,10,baranoa,08,Atlántico
126,08137,2,2,0,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,2,2,campo de la cruz,08,Atlántico
127,08141,1,0,1,1,2,0,0,1,0,0,1,0,1,0,0,2,2,2,1,1,2,candelaria,08,Atlántico
128,08296,1,0,0,0,0,0,1,0,1,1,3,2,0,1,0,2,2,1,4,2,1,galapa,08,Atlántico
129,08372,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,1,juan de acosta,08,Atlántico
130,08421,1,0,2,0,0,1,1,1,0,0,0,1,0,0,1,3,3,0,1,0,1,luruaco,08,Atlántico
131,08433,5,0,5,4,3,6,1,4,4,0,6,3,4,1,2,8,6,4,7,6,9,malambo,08,Atlántico
132,08436,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,3,0,manati,08,Atlántico
133,08520,0,1,0,0,0,0,0,2,1,0,1,2,0,0,2,4,0,0,4,0,3,palmar de varela,08,Atlántico
134,08549,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,piojo,08,Atlántico
135,08558,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,1,0,polonuevo,08,Atlántico
136,08560,0,0,0,0,0,0,0,1,0,2,0,1,2,0,0,2,0,2,2,0,1,ponedera,08,Atlántico
137,08573,0,1,1,0,1,0,1,1,3,2,1,1,2,1,0,1,3,2,1,0,4,puerto colombia,08,Atlántico
138,08606,1,1,0,1,2,0,0,0,0,0,1,1,0,0,1,1,0,2,2,2,2,repelon,08,Atlántico
139,08634,0,0,1,1,1,1,1,2,2,0,2,0,2,0,2,1,0,3,1,1,0,sabanagrande,08,Atlántico
140,08638,0,4,2,2,3,5,1,2,0,2,3,6,2,2,5,5,6,3,6,3,5,sabanalarga,08,Atlántico
141,08675,1,0,5,0,0,0,0,3,1,2,0,0,0,0,1,0,0,2,0,0,0,santa lucia,08,Atlántico
142,08685,0,0,3,0,2,3,2,1,1,0,0,2,4,2,0,1,1,1,4,1,4,santo tomas,08,Atlántico
143,08758,5,5,12,10,11,9,17,17,12,23,19,14,16,16,21,21,29,37,41,42,46,soledad,08,Atlántico
144,08770,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,suan,08,Atlántico
145,08832,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,4,tubara,08,Atlántico
146,08849,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,usiacuri,08,Atlántico
147,08999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,08,Atlántico
148,09999,0,0,0,0,0,0,0,0,0,0,11,16,8,0,4,0,3,2,0,1,0,0,09,"Sin información de departamento,"
149,11001,269,282,265,324,366,363,387,358,345,442,390,428,439,443,475,450,466,493,543,534,537,bogota,11,Bogotá
150,13001,40,37,35,45,38,60,48,41,46,54,62,49,64,59,74,55,62,64,85,96,90,cartagena de indias,13,Bolivar
151,13006,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,achi,13,Bolivar
152,13030,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,altos del rosario,13,Bolivar
153,13042,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,arenal,13,Bolivar
154,13052,1,3,0,0,3,1,1,1,5,2,2,2,4,2,2,3,2,4,2,2,7,arjona,13,Bolivar
155,13062,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,arroyohondo,13,Bolivar
156,13074,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,barranco de loba,13,Bolivar
157,13140,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,calamar,13,Bolivar
158,13160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,cantagallo,13,Bolivar
159,13188,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,cicuco,13,Bolivar
160,13212,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,cordoba,13,Bolivar
161,13222,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,clemencia,13,Bolivar
162,13244,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,4,3,2,2,6,2,el carmen de bolivar,13,Bolivar
163,13248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,el guamo,13,Bolivar
164,13268,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,el penon,13,Bolivar
165,13300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,hatillo de loba,13,Bolivar
166,13430,4,4,5,6,4,1,8,6,3,0,6,3,6,7,4,4,3,9,5,1,3,magangue,13,Bolivar
167,13433,0,0,0,1,0,1,1,3,1,0,0,2,0,0,1,0,1,1,0,2,1,mahates,13,Bolivar
168,13440,0,0,1,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,1,0,margarita,13,Bolivar
169,13442,0,1,0,0,0,1,0,0,1,0,2,3,2,0,3,1,2,1,4,4,2,maria la baja,13,Bolivar
170,13468,0,0,0,2,2,0,1,3,2,1,0,1,1,2,0,1,1,1,3,1,1,santa cruz de mompox,13,Bolivar
171,13473,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,morales,13,Bolivar
172,13549,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,pinillos,13,Bolivar
173,13580,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,regidor,13,Bolivar
174,13600,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,rio viejo,13,Bolivar
175,13620,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,san cristobal,13,Bolivar
176,13647,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,1,1,san estanislao,13,Bolivar
177,13650,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,san fernando,13,Bolivar
178,13654,0,1,0,0,1,1,2,0,2,0,1,0,1,2,0,1,0,1,3,3,0,san jacinto,13,Bolivar
179,13657,1,0,2,2,0,0,0,0,2,3,0,1,2,0,0,1,1,0,1,3,0,san juan nepomuceno,13,Bolivar
180,13667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,san martin de loba,13,Bolivar
181,13670,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,2,2,1,0,san pablo,13,Bolivar
182,13673,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,santa catalina,13,Bolivar
183,13683,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,2,santa rosa,13,Bolivar
184,13688,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,2,0,1,1,0,0,santa rosa del sur,13,Bolivar
185,13744,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,2,simiti,13,Bolivar
186,13760,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,soplaviento,13,Bolivar
187,13780,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,talaigua nuevo,13,Bolivar
188,13810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,tiquisio,13,Bolivar
