,DPMP,mort_1998,mort_1999,mort_2000,mort_2001,mort_2002,mort_2003,mort_2004,mort_2005,mort_2006,mort_2007,mort_2008,mort_2009,mort_2010,mort_2011,mort_2012,mort_2013,mort_2014,mort_2015,mort_2016,mort_2017,mort_2018,TAE_1998,TAE_1999,TAE_2000,TAE_2001,TAE_2002,TAE_2003,TAE_2004,TAE_2005,TAE_2006,TAE_2007,TAE_2008,TAE_2009,TAE_2010,TAE_2011,TAE_2012,TAE_2013,TAE_2014,TAE_2015,TAE_2016,TAE_2017,TAE_2018,MPIO
21,05101,2.0,1.0,0.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,0.0,17.589608141582357,6.651162790697676,0.0,32.80689624410787,33.18054998045379,34.23800257508556,27.12907902041824,6.918671248568156,10.137614678899084,17.396242900830057,27.877977415077947,15.209372805558637,23.720609807926955,29.414496718540416,15.312824367371773,21.142857142857142,6.116173120728929,15.353107840726821,5.952000000000001,21.0726690090461,0.0,Ciudad bolívar
22,05107,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.14285714285714,0.0,0.0,34.91329479768786,0.0,48.94736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Briceño
23,05113,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.119047619047617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Buriticá
24,05120,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.28571428571429,0.0,17.266881028938908,13.665158371040725,0.0,10.427215189873415,0.0,0.0,16.742424242424242,16.37037037037037,0.0,0.0,11.141078838174273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cáceres
25,05125,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,49.45652173913044,0.0,51.66666666666667,58.1578947368421,0.0,0.0,0.0,49.111111111111114,40.87912087912088,33.98734177215189,0.0,0.0,0.0,0.0,30.29661016949153,0.0,60.305907172995774,0.0,24.313099041533548,0.0,24.57044673539519,Caicedo
26,05129,2.0,4.0,2.0,3.0,3.0,4.0,6.0,4.0,3.0,1.0,2.0,9.0,5.0,4.0,2.0,4.0,7.0,6.0,6.0,7.0,5.0,6.801801801801802,14.181650826755702,7.1458432276183945,8.254864421420862,7.9107548829259375,12.769191741500771,18.32010448504495,12.872234861301695,7.199192181869117,3.6679058240396527,4.574574442386666,25.311647903634388,12.006160744364246,10.339542324481277,4.863537872850491,8.699862489428297,15.02707390166588,10.457167541512113,11.554740510290674,14.747269068876182,9.30435344648954,Caldas
27,05134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.610894941634243,0.0,29.07894736842105,22.75,21.045296167247383,0.0,0.0,25.198675496688743,0.0,0.0,0.0,0.0,0.0,Campamento
28,05138,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,14.380952380952383,0.0,0.0,0.0,34.1167574107683,0.0,17.169811320754715,11.428571428571427,0.0,0.0,0.0,14.051172707889124,13.454545454545453,12.971014492753623,12.45360824742268,22.346368715083802,5.669642857142857,0.0,12.204545454545453,0.0,Cañasgordas
29,05142,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,39.48529411764706,0.0,0.0,36.831683168316836,38.7719298245614,0.0,0.0,0.0,0.0,38.7719298245614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.804597701149426,0.0,Caracolí
30,05145,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,65.6890756302521,0.0,34.02298850574712,0.0,0.0,0.0,43.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,31.789473684210524,0.0,0.0,65.49021149461434,0.0,Caramanta
