,codmunre,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,codmunicipio,MUNICIPIO,codptore,DPTO
63,05380,4,0,3,2,2,1,4,7,3,3,1,2,2,3,3,3,4,2,6,1,6,05380,la estrella,05,Antioquia
64,05390,0,0,0,2,0,1,0,0,1,0,2,1,0,2,0,0,0,1,1,0,0,05390,la pintada,05,Antioquia
65,05400,0,1,0,0,0,0,1,0,0,1,1,2,1,0,0,1,0,1,1,2,2,05400,la unión,05,Antioquia
66,05411,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,1,0,2,0,1,05411,liborina,05,Antioquia
67,05425,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,05425,maceo,05,Antioquia
68,05440,0,2,2,2,0,1,1,0,1,1,1,4,1,0,2,2,5,0,2,2,5,05440,marinilla,05,Antioquia
69,05467,0,1,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,05467,montebello,05,Antioquia
70,05480,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,05480,mutatá,05,Antioquia
71,05483,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,05483,nariño,05,Antioquia
72,05490,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,4,0,1,0,1,1,05490,necoclí,05,Antioquia
73,05495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,05495,nechí,05,Antioquia
74,05501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,05501,olaya,05,Antioquia
75,05541,0,3,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,2,05541,peñol,05,Antioquia
76,05543,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,05543,peque,05,Antioquia
77,05576,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,05576,pueblorrico,05,Antioquia
78,05579,4,2,4,4,2,3,4,3,5,6,2,2,1,3,1,1,4,0,4,2,0,05579,puerto berrío,05,Antioquia
79,05585,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,05585,puerto nare,05,Antioquia
80,05591,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,05591,puerto triunfo,05,Antioquia
81,05604,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,3,0,2,0,1,0,05604,remedios,05,Antioquia
82,05607,0,1,2,2,0,0,2,0,0,0,1,0,1,0,0,0,0,3,1,2,2,05607,retiro,05,Antioquia
83,05615,2,1,4,3,1,7,2,5,5,3,2,3,3,6,8,6,8,5,9,15,7,05615,rionegro,05,Antioquia
84,05628,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,05628,sabanalarga,05,Antioquia
85,05631,1,3,1,3,4,3,5,2,4,4,4,6,11,1,2,3,4,11,8,11,8,05631,sabaneta,05,Antioquia
86,05642,0,0,1,0,2,1,3,0,1,1,0,1,2,0,0,2,2,0,1,1,1,05642,salgar,05,Antioquia
87,05647,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,05647,san andrés de cuerquía,05,Antioquia
88,05649,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,05649,san carlos,05,Antioquia
89,05652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,05652,san francisco,05,Antioquia
90,05656,0,0,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,05656,san jerónimo,05,Antioquia
91,05658,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,05658,san josé de la montaña,05,Antioquia
92,05660,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,05660,san luis,05,Antioquia
93,05664,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,2,05664,san pedro de los milagros,05,Antioquia
94,05665,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1,1,05665,san pedro de urabá,05,Antioquia
95,05667,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,05667,san rafael,05,Antioquia
96,05670,0,1,0,0,1,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,05670,san roque,05,Antioquia
97,05674,1,0,2,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,05674,san vicente ferrer,05,Antioquia
98,05679,2,0,0,0,3,0,0,1,0,1,0,0,0,1,1,1,1,0,2,2,3,05679,santa bárbara,05,Antioquia
99,05686,0,2,1,0,2,1,0,1,1,0,1,0,2,1,3,2,1,0,0,0,1,05686,santa rosa de osos,05,Antioquia
100,05690,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,05690,santo domingo,05,Antioquia
101,05697,3,1,3,0,1,2,0,1,1,2,0,4,1,2,2,0,2,2,2,0,3,05697,el santuario,05,Antioquia
102,05736,0,0,2,1,1,2,0,1,2,1,3,1,2,2,1,1,1,1,4,1,2,05736,segovia,05,Antioquia
103,05756,1,3,4,3,1,2,2,5,2,1,3,3,4,2,3,1,1,2,2,4,4,05756,sonsón,05,Antioquia
104,05761,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,2,0,0,05761,sopetrán,05,Antioquia
105,05789,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,05789,támesis,05,Antioquia
106,05790,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,1,05790,tarazá,05,Antioquia
107,05792,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,05792,tarso,05,Antioquia
108,05809,1,0,2,0,1,0,0,0,1,0,1,0,0,1,1,2,1,0,2,0,0,05809,titiribí,05,Antioquia
109,05819,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,05819,toledo,05,Antioquia
110,05837,1,1,1,2,2,1,3,1,2,3,2,5,3,4,3,8,2,3,2,10,9,05837,turbo,05,Antioquia
111,05842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,05842,uramita,05,Antioquia
112,05847,1,2,0,2,1,2,2,0,1,2,0,2,1,2,0,1,0,0,3,1,0,05847,urrao,05,Antioquia
113,05854,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,05854,valdivia,05,Antioquia
114,05856,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,05856,valparaíso,05,Antioquia
115,05858,0,0,2,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,05858,vegachí,05,Antioquia
116,05861,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4,0,1,05861,venecia,05,Antioquia
117,05885,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,05885,yalí,05,Antioquia
118,05887,0,3,1,2,2,4,1,2,1,1,0,1,0,3,0,3,2,1,3,3,1,05887,yarumal,05,Antioquia
119,05890,1,1,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,05890,yolombó,05,Antioquia
120,05893,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,05893,yondó,05,Antioquia
121,05895,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,05895,zaragoza,05,Antioquia
122,08001,61,66,66,74,88,88,67,93,86,92,101,106,116,93,123,132,137,135,138,150,161,08001,barranquilla,08,Atlántico
123,08078,2,2,0,1,1,1,2,1,3,4,4,3,2,2,3,1,8,7,4,7,10,08078,baranoa,08,Atlántico
124,08137,2,2,0,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,2,2,08137,campo de la cruz,08,Atlántico
125,08141,1,0,1,1,2,0,0,1,0,0,1,0,1,0,0,2,2,2,1,1,2,08141,candelaria,08,Atlántico
126,08296,1,0,0,0,0,0,1,0,1,1,3,2,0,1,0,2,2,1,4,2,1,08296,galapa,08,Atlántico
127,08372,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,1,08372,juan de acosta,08,Atlántico
128,08421,1,0,2,0,0,1,1,1,0,0,0,1,0,0,1,3,3,0,1,0,1,08421,luruaco,08,Atlántico
129,08433,5,0,5,4,3,6,1,4,4,0,6,3,4,1,2,8,6,4,7,6,9,08433,malambo,08,Atlántico
